river_name,question_id,question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer_index
Lost Dog Creek,Lost Dog Creek_1,In which U.S. state is Lost Dog Creek located?,Wyoming,North Dakota,Montana,Nebraska,South Dakota,4
Lost Dog Creek,Lost Dog Creek_2,What is one of the proposed origins for the name 'Lost Dog Creek'?,A dog that barked continuously by the creek,A dog that was lost during a flood,A dog that was found near the creek,A dog that chased a deer into the creek,An Indian hearing a lost dog howling near the creek,4
Lost River (Cacapon River tributary),Lost River (Cacapon River tributary)_1,What is the approximate length of the Lost River in kilometers?,55.2 km,31.1 km,45.7 km,35.8 km,50.1 km,4
Lost River (Cacapon River tributary),Lost River (Cacapon River tributary)_2,The Lost River is identified as impaired due to which specific pollutant?,Heavy Metals,Sediment,Nutrients,Pesticides,Pathogens,4
Lost River (California),Lost River (California)_1,"What percentage of the Klamath Project's cropland, managed by the U.S. Bureau of Reclamation, is located in California?",74%,62%,46%,50%,38%,4
Lost River (California),Lost River (California)_2,Approximately how many miles of the Lost River are situated within Oregon?,60 miles,97 miles,74 miles,23 miles,14 miles,2
Lost River (Clearwater River tributary),Lost River (Clearwater River tributary)_1,What is the total length of the Lost River in kilometers?,76.9 km,76.2 km,122.0 km,123.1 km,122.6 km,4
Lost River (Clearwater River tributary),Lost River (Clearwater River tributary)_2,Which river is the Lost River a tributary of?,Red Lake River,Nelson River,Clearwater River,Lake Winnipeg,Red River of the North,2
Lost River (Indiana),Lost River (Indiana)_1,In which township does the Lost River originate?,Martin Township,Lost River Township,Washington Township,East Fork Township,Vernon Township,4
Lost River (Indiana),Lost River (Indiana)_2,The Lost River discharges into which specific tributary of the White River?,South Fork of the White River,East Fork of the White River,North Fork of the White River,Middle Fork of the White River,West Fork of the White River,1
Lost River (Nett Lake),Lost River (Nett Lake)_1,The Lost River (Nett Lake) is primarily located within which U.S. state?,Iowa,Wisconsin,North Dakota,Montana,Minnesota,4
Lost River (Nett Lake),Lost River (Nett Lake)_2,What geographical classification best describes the Lost River (Nett Lake)?,A canal,A lake,A stream,A bayou,A river,4
Lost River (New Hampshire),Lost River (New Hampshire)_1,What is the primary geological feature formed by enormous boulders covering the Lost River in Kinsman Notch?,A glacial moraine deposit,A series of cascading waterfalls,An underground river system,A natural rock dam,A network of boulder caves,4
Lost River (New Hampshire),Lost River (New Hampshire)_2,"Which river watershed is the Lost River a part of, ultimately leading to the Merrimack River?",White Mountains watershed,Moosilauke Brook watershed,Kinsman Notch watershed,Merrimack River watershed,Pemigewasset River watershed,4
Lost River (Roseau River tributary),Lost River (Roseau River tributary)_1,Which major North American watershed does the Lost River ultimately contribute to?,Atlantic Ocean watershed,Mississippi River watershed,Great Lakes watershed,Gulf of Mexico watershed,Hudson Bay watershed,4
Lost River (Roseau River tributary),Lost River (Roseau River tributary)_2,What is the primary river that the Lost River flows into directly?,Winnipeg Lake,Red River of the North,Nelson River,Mississippi River,Roseau River,4
Lost River (Tamarac River tributary),Lost River (Tamarac River tributary)_1,What is the approximate length of the Lost River in kilometers?,24.0 km,24.5 km,39.0 km,40.0 km,39.4 km,4
Lost River (Tamarac River tributary),Lost River (Tamarac River tributary)_2,"The Lost River is a tributary of which larger river system, ultimately leading to Red Lake?",St. Croix River,Red River,Mississippi River,Minnesota River,Tamarac River,4
Lost River (Thief River tributary),Lost River (Thief River tributary)_1,What is the approximate length of the Lost River in kilometers?,10.9 miles,6.8 km,17.7 km,6.8 miles,10.9 km,4
Lost River (Thief River tributary),Lost River (Thief River tributary)_2,In which U.S. county is the entirety of the Lost River located?,Western Minnesota County,Thief River County,Agassiz County,United States County,Marshall County,4
Lost Temper Creek,Lost Temper Creek_1,In which administrative region of Alaska is Lost Temper Creek located?,Denali Borough,Yukon-Koyukuk Census Area,Fairbanks North Star Borough,Matanuska-Susitna Borough,North Slope Borough,4
Lost Temper Creek,Lost Temper Creek_2,What is the primary river into which Lost Temper Creek flows?,Tanana River,Colville River,Yukon River,Porcupine River,Kuskokwim River,1
Lost streams of Idaho,Lost streams of Idaho_1,The 'Lost streams of Idaho' are tributaries to which major river system via an aquifer?,Missouri River,Columbia River,Colorado River,Yellowstone River,Snake River,4
Lost streams of Idaho,Lost streams of Idaho_2,Which two counties in Idaho are identified as containing the 'Lost streams of Idaho'?,Kootenai County and Bonner County,Ada County and Canyon County,Bonneville County and Bingham County,Latah County and Nez Perce County,Custer County and Butte County,4
Lostine River,Lostine River_1,"What is the total length of the Lostine River in kilometers, and what portion was designated 'wild'?","31.4 km, 26 km","50.5 km, 8 km","31.4 km, 8 km","50.5 km, 18 km","50.5 km, 26 km",1
Lostine River,Lostine River_2,"What was the lowest recorded population of spring Chinook salmon in the Lostine River, and what year did this occur?","2,000 fish, 2009","800 fish, 2005","13 fish, 1999","800 fish, 1999","13 fish, 1988",2
Loup River,Loup River_1,What is the approximate length of the Loup River in miles?,2900 miles,109 miles,1800 miles,50 miles,68 miles,4
Loup River,Loup River_2,The Loup River is a tributary of which larger river system?,Niobrara River,Platte River,Republican River,Big Blue River,Missouri River,1
Louse Creek (Alaska),Louse Creek (Alaska)_1,What is the primary reason cited for Louse Creek's naming convention?,It is a phonetic representation of the indigenous name for the stream.,It was named after a prominent local figure named Lou.,It reflects the type of insect commonly found in the area.,It signifies the river's tendency to meander extensively.,It corresponds with the U.S. Army's alphabetical naming system.,4
Louse Creek (Alaska),Louse Creek (Alaska)_2,In which specific administrative division of Alaska is Louse Creek located?,North Slope Borough,Bethel Census Area,Aleutians West Census Area,Fairbanks North Star Borough,Yukon-Koyukuk Census Area,2
Louse Creek (Niobrara River tributary),Louse Creek (Niobrara River tributary)_1,"What is the approximate distance, in miles, from the confluence of East and West Branches of Louse Creek to its junction with the Niobrara River?",0.80 miles,6.4 miles,4 miles,4.8 miles,8.29 miles,4
Louse Creek (Niobrara River tributary),Louse Creek (Niobrara River tributary)_2,Louse Creek is a tributary to which larger river system?,Republican River,Niobrara River,Platte River,Elkhorn River,Missouri River,1
Louse Creek (South Dakota),Louse Creek (South Dakota)_1,What geographical feature is Louse Creek identified as in South Dakota?,A brook,A river,A creek,A waterway,A stream,4
Louse Creek (South Dakota),Louse Creek (South Dakota)_2,What was the primary reason for Louse Creek being named by early settlers?,Historical significance of a nearby battle,Presence of large fish species,Proximity to a prominent geological formation,Unique water color attributed to minerals,Abundant wood lice considered a pest,4
Louse Creek (Tennessee),Louse Creek (Tennessee)_1,In which U.S. county is Louse Creek located?,"Coffee County, Tennessee","Franklin County, Tennessee","Moore County, Tennessee","Bedford County, Tennessee","Lincoln County, Tennessee",4
Louse Creek (Tennessee),Louse Creek (Tennessee)_2,Which of the following is a proposed origin for the name 'Louse Creek'?,A mispronunciation of a Native American word,An abundance of aquatic insects resembling lice,A historical settlement named 'Louseville',A geological feature resembling a louse,A local child suffering from head lice,4
Louse Kill,Louse Kill_1,At what specific geographic location does the Louse Kill river meet another waterway?,In the Catskill Mountains region,At the confluence with the Mohawk River,"South of Albany, New York",Where it empties into the Hudson River,"Near Schoharie, New York",4
Louse Kill,Louse Kill_2,Which named creek is the Louse Kill river a tributary to?,Catskill Creek,Schoharie Creek,Cobleskill Creek,Normans Kill,Fox Creek,4
Louse River,Louse River_1,What U.S. state is the Louse River located in?,North Dakota,Wisconsin,Iowa,Montana,Minnesota,4
Louse River,Louse River_2,Which of the following is the primary geographical classification of the Louse River?,A canal,A lake,A stream,A bayou,A river,4
Lousy Creek (Reddies River tributary),Lousy Creek (Reddies River tributary)_1,What is the approximate length of Lousy Creek in kilometers?,8.95 km,6.12 km,9.58 km,10.85 km,9.85 km,4
Lousy Creek (Reddies River tributary),Lousy Creek (Reddies River tributary)_2,Lousy Creek is classified as what order tributary?,1st magnitude,2nd order,3rd order,Primary order,1st order,4
Love Creek,Love Creek_1,"What specific event on January 5, 1982, caused significant destruction along Love Creek?",A volcanic eruption,A severe flood,A hurricane,A widespread wildfire,A massive mudslide,4
Love Creek,Love Creek_2,What is the approximate elevation of Love Creek's source above sea level?,"2,000 feet",500 feet,"1,500 feet",750 feet,"1,000 feet",4
Love Creek (Rehoboth Bay tributary),Love Creek (Rehoboth Bay tributary)_1,What is the stream order of Love Creek?,1st order,2nd order,4th order,5th order,3rd order,4
Love Creek (Rehoboth Bay tributary),Love Creek (Rehoboth Bay tributary)_2,What is the approximate length of Love Creek in miles?,6.00 miles,5.92 miles,3.00 miles,4.00 miles,3.68 miles,4
Lovell River,Lovell River_1,What is the approximate length of the Lovell River in kilometers?,153.0 km,9.5 km,24.8 km,95.0 km,15.3 km,4
Lovell River,Lovell River_2,The Lovell River originates from a saddle between which two prominent peaks within the Ossipee Mountains?,Mount Kearsarge and Mount Shaw,Mount Shaw and Mount Chocorua,Faraway Mountain and Mount Washington,Mount Washington and Mount Chocorua,Faraway Mountain and Mount Shaw,4
Loves Creek (Rocky River tributary),Loves Creek (Rocky River tributary)_1,What is the order of Loves Creek within its river system?,1st order,2nd order,4th order,5th order,3rd order,4
Loves Creek (Rocky River tributary),Loves Creek (Rocky River tributary)_2,What is the approximate length of Loves Creek in miles?,9.59 miles,5.59 miles,5.00 miles,5.95 miles,9.00 miles,1
Lovills Creek,Lovills Creek_1,Lovills Creek is a tributary of which larger river system?,Lovills River,Surry River,North Carolina River,Creek River,Ararat River,4
Lovills Creek,Lovills Creek_2,What is the approximate length of Lovills Creek in miles?,10.5 miles,17.24 miles,3rd order miles,20.0 miles,27.75 miles,1
Lower Beach Hill Brook,Lower Beach Hill Brook_1,In which U.S. state is the Lower Beach Hill Brook located?,New Jersey,Pennsylvania,Delaware,Maryland,New York,4
Lower Beach Hill Brook,Lower Beach Hill Brook_2,The Lower Beach Hill Brook flows into which reservoir?,Ashokan Reservoir,Cannonsville Reservoir,Neversink Reservoir,Schoharie Reservoir,Pepacton Reservoir,4
Lower Little Swatara Creek,Lower Little Swatara Creek_1,What is the approximate flow direction of Lower Little Swatara Creek for the majority of its course?,South-southwest,North-northeast,East-southeast,West-northwest,West-southwest,4
Lower Little Swatara Creek,Lower Little Swatara Creek_2,"If Lower Little Swatara Creek were to be extended by 3 miles, what would its new approximate length be in kilometers?",22.5 miles,18 km,27.4 km,14.5 km,22.5 km,2
Lower Millecoquins River,Lower Millecoquins River_1,What is the approximate length of the Lower Millecoquins River in kilometers?,9.0 km,9.6 km,15.0 km,15.6 km,15.4 km,4
Lower Millecoquins River,Lower Millecoquins River_2,The Lower Millecoquins River originates from the outflow of which lake?,Lower Millecoquins Lake,Upper Millecoquins Lake,Lake Michigan,Millecoquins Reservoir,Millecoquins Lake,4
Lower Stump River,Lower Stump River_1,What is the approximate length of the Lower Stump River in miles?,5.5 miles,8.4 miles,5.0 miles,8.0 miles,5.2 miles,4
Lower Stump River,Lower Stump River_2,The Lower Stump River is a tributary of which larger river?,Red River,Minnesota River,Mississippi River,St. Louis River,Stump River,4
Lower Tamarack River,Lower Tamarack River_1,What is the approximate length of the Lower Tamarack River in kilometers?,39.8 km,39.0 km,62.0 km,52.8 km,62.8 km,4
Lower Tamarack River,Lower Tamarack River_2,The Lower Tamarack River is a tributary of which larger river system?,Minnesota River,Mississippi River,Upper Tamarack River,Wisconsin River,St. Croix River,4
Lowry Run,Lowry Run_1,In which U.S. county is Lowry Run located?,Butler County,Miami County,Montgomery County,Darke County,Preble County,4
Lowry Run,Lowry Run_2,What historical event is commemorated by the name Lowry Run?,The construction of a fort by Lieutenant Lowry and Little Turtle,The signing of a peace treaty between Lieutenant Lowry and Little Turtle,The exploration led by Lieutenant Lowry and Little Turtle,A diplomatic mission involving Lieutenant Lowry and Little Turtle,A battle between Lieutenant Lowry and Little Turtle,4
Loxahatchee River,Loxahatchee River_1,What is the precise date the Loxahatchee River received its federal designation as a National Wild and Scenic River?,"May 16, 1985","May 17, 1986","May 17, 1984","May 18, 1985","May 17, 1985",4
Loxahatchee River,Loxahatchee River_2,Approximately how far west of Interstate 95 and Florida's Turnpike is the source of the Loxahatchee River located?,1.0 miles,7.6 miles,2.0 miles,0.5 miles,1.5 miles,4
Loyalhanna Creek,Loyalhanna Creek_1,What is the approximate length of Loyalhanna Creek in miles?,60 miles,80 miles,40 miles,70 miles,50 miles,4
Loyalhanna Creek,Loyalhanna Creek_2,Loyalhanna Creek is a tributary of which larger river?,Susquehanna River,Kiskiminetas River,Ohio River,Monongahela River,Allegheny River,1
Loyalsock Creek,Loyalsock Creek_1,"What is the approximate straight-line distance between Lycoming County and Pittsburgh, as stated in the text?",64 miles,130 miles (209 km),103 km,209 miles,165 miles (266 km),4
Loyalsock Creek,Loyalsock Creek_2,Loyalsock Creek is a tributary of which larger river system?,Monongahela River,East Branch Susquehanna River,Allegheny River,Ohio River,West Branch Susquehanna River,4
Lubbers Run,Lubbers Run_1,Lubbers Run is a tributary to which larger river system?,Passaic River,Delaware River,Raritan River,Hudson River,Musconetcong River,4
Lubbers Run,Lubbers Run_2,What is the approximate size of the Lubbers Run Preserve in hectares?,45 hectares,36 hectares,126 hectares,72 hectares,90 hectares,1
Luckiamute River,Luckiamute River_1,What is the approximate distance between the mouth of the Luckiamute River and the mouth of the Santiam River along the Willamette River?,108 miles (174 km),10 miles (16 km),61 miles (98 km),1/2 mile (800 m),1/4 mile (400 m),4
Luckiamute River,Luckiamute River_2,"Considering the named tributaries from source to mouth, which creek is the last one listed before the Little Luckiamute River joins the main stem?",McTimmonds Creek,Dry Creek,Link Creek,Pedee Creek,Jont Creek,4
Lucky Run,Lucky Run_1,What is the approximate surface area of the Lucky Run watershed in square kilometers?,2.4 km²,3.9 km²,1.66 km²,1.7 km²,4.3 km²,4
Lucky Run,Lucky Run_2,Which of the following describes the primary ecological classification of Lucky Run Creek based on its water temperature and inhabitants?,Estuarine Environment,Warmwater Fishery,Trout Stream,Riparian Zone,Coldwater Fishery,4
Ludlow Creek,Ludlow Creek_1,"What is the approximate length of Ludlow Creek in miles, rounded to the nearest tenth?",14 miles,21.7 miles,13 miles,13.0 miles,13.5 miles,4
Ludlow Creek,Ludlow Creek_2,Ludlow Creek is a tributary to which larger river?,Muskingum River,Stillwater River,Miami River,Cuyahoga River,Ohio River,1
Lumber River,Lumber River_1,What designation did the North Carolina General Assembly bestow upon the Lumber River in 1989?,A protected blackwater waterway,One of North Carolina's Ten Natural Wonders,A Natural and Scenic River,A historically significant waterway,A National Wild and Scenic River,2
Lumber River,Lumber River_2,Which river does the Lumber River flow into shortly after crossing into South Carolina?,The Great Pee Dee River,The Little Pee Dee River,Winyah Bay,The Atlantic Ocean,The Pee Dee River,1
Lummi River,Lummi River_1,What was the approximate length of the log jam that redirected the Nooksack River's main outflow?,A quarter mile,Half a mile,Two miles,Ten miles,One mile,4
Lummi River,Lummi River_2,What is the primary mechanism by which the Lummi River is currently fed by the Nooksack River?,Overflow from a secondary dam upstream,A direct channel connection that operates year-round,An underground aqueduct system,Seasonal snowmelt runoff directly into the Lummi River,A culvert passing through the levee during high water,4
Luphers Run,Luphers Run_1,What is the approximate length of Luphers Run in kilometers?,4.6 km,2.9 km,1.79 km,2.9 miles,4.7 km,4
Luphers Run,Luphers Run_2,"Which of the following is a primary impact on Luphers Run, contributing to its ecological challenges?",Nutrient overload,Organic enrichment,Low dissolved oxygen,Wild trout reproduction,Acid deposition,4
Luppatatong Creek,Luppatatong Creek_1,Luppatatong Creek is a tributary to which larger body of water?,Monmouth County,Raritan Bay,Mount Pleasant Hills,Atlantic Ocean,Keyport Harbor,4
Luppatatong Creek,Luppatatong Creek_2,In which U.S. county is Luppatatong Creek primarily located?,Hudson County,Middlesex County,Ocean County,Union County,Monmouth County,4
Lusk Creek,Lusk Creek_1,What is the approximate length of Lusk Creek in kilometers?,31.2 km,31.8 km,51.8 km,45.0 km,51.2 km,4
Lusk Creek,Lusk Creek_2,"Lusk Creek is a tributary of which major river, joining it at Golconda?",Wabash River,Ohio River,Illinois River,Kaskaskia River,Mississippi River,1
Luxapallila Creek,Luxapallila Creek_1,What is the approximate drainage area of the Luxapallila Creek watershed in square kilometers?,"2,080 miles²",118.4 km²,803 km²,118.4 miles²,"2,080 km²",4
Luxapallila Creek,Luxapallila Creek_2,Which of the following is NOT listed as a county through which Luxapallila Creek flows?,Marion County,Fayette County,Jefferson County,Lamar County,Lowndes County,2
Lycoming Creek,Lycoming Creek_1,What is the approximate length of Lycoming Creek in kilometers?,75.8 km,37.5 km,50.2 km,30.1 km,60.4 km,4
Lycoming Creek,Lycoming Creek_2,Lycoming Creek is a tributary of which larger river system?,Juniata River,East Branch Susquehanna River,North Branch Susquehanna River,Allegheny River,West Branch Susquehanna River,4
Lynch Creek,Lynch Creek_1,What is the approximate length of Lynch Creek in kilometers?,7.1 miles,7.1 km,11.4 miles,18.5 km,11.4 km,4
Lynch Creek,Lynch Creek_2,Lynch Creek is a stream located in which specific county in California?,Napa County,Sonoma County,Marin County,Solano County,Alameda County,1
Lynch Creek (Hyco Creek tributary),Lynch Creek (Hyco Creek tributary)_1,What is the approximate length of Lynch Creek in kilometers?,7.8 km,7.79 km,12.5 km,12.54 mi,12.54 km,4
Lynch Creek (Hyco Creek tributary),Lynch Creek (Hyco Creek tributary)_2,"Lynch Creek is classified as which order tributary, and into which larger water body does it flow?",3rd order tributary to Hyco Creek,1st order tributary to Hyco Creek,2nd order tributary to Caswell Creek,2nd order tributary to North Carolina Creek,2nd order tributary to Hyco Creek,4
Lynch River,Lynch River_1,What is the approximate length of the Lynch River in kilometers?,14.8 km,9.8 km,16.8 km,25.6 km,15.8 km,4
Lynch River,Lynch River_2,The Lynch River is a tributary of which larger river system?,Shenandoah River,James River watershed,Roach River,Rivanna River,North Fork Rivanna River,4
Lynches River,Lynches River_1,What is the approximate drainage area of the Lynches River in square miles?,700 square miles,2670 square miles,140 square miles,57 square miles,1030 square miles,4
Lynches River,Lynches River_2,Which of the following fish species is NOT explicitly mentioned as being found in the Lynches River?,Catfish,Trout,Redbreast,Bass,Sunfish,1
Lynn Camp Creek,Lynn Camp Creek_1,Lynn Camp Creek is a tributary of which larger river system?,Cumberland River,Nolin River,Ohio River,Mississippi River,Green River,4
Lynn Camp Creek,Lynn Camp Creek_2,In which two Kentucky counties is Lynn Camp Creek located?,Green and Taylor counties,Hart and Hardin counties,LaRue and Marion counties,Edmonson and Warren counties,Hart and LaRue counties,4
Lynnhaven River,Lynnhaven River_1,What is the approximate area of the Lynnhaven River's watershed in square miles?,70 square miles,170 square miles,60 square miles,160 square miles,64 square miles,4
Lynnhaven River,Lynnhaven River_2,The Lynnhaven River flows into which larger body of water?,Potomac River,Chesapeake Bay,Lynnhaven Bay,Delaware Bay,Atlantic Ocean,1
Lyon Creek (Kansas),Lyon Creek (Kansas)_1,In which decade was Lyon Creek (Kansas) named?,1870s,1840s,1860s,1830s,1850s,4
Lyon Creek (Kansas),Lyon Creek (Kansas)_2,Which of the following counties is NOT listed as being part of Lyon Creek's (Kansas) geographical location?,Shawnee,Geary,Marion,Chase,Dickinson,0
Lyre River,Lyre River_1,What was the initial European name given to the Lyre River in 1790?,Lake Crescent River,River Lyre,Singing Waters,Olympic Strait River,Rio de Cuesta,4
Lyre River,Lyre River_2,"By whom was the Lyre River charted in 1847, leading to its later name change?",The Olympic National Park Service,Captain Henry Kellett,An unnamed Indian tribe,The Strait of Juan de Fuca Authority,Gonzalo López de Haro,1
Lytle Creek (California),Lytle Creek (California)_1,What is the approximate length of Lytle Creek in kilometers?,35 km,18 km,47 km,25 km,29 km,4
Lytle Creek (California),Lytle Creek (California)_2,Lytle Creek is a tributary to which larger river system?,Lytle River,San Bernardino Creek,Mormon River,California Creek,Santa Ana River,4
Lytle Creek (Ohio),Lytle Creek (Ohio)_1,In which U.S. state is Lytle Creek located?,Pennsylvania,Indiana,Kentucky,West Virginia,Ohio,4
Lytle Creek (Ohio),Lytle Creek (Ohio)_2,Lytle Creek is named in honor of which historical figure?,Senator Robert Lytle,Gov. John Lytle,President Thomas Lytle,Major General Henry Lytle,Gen. William Lytle,4
Maacama Creek,Maacama Creek_1,What is the approximate length of Maacama Creek in kilometers?,117 km,7.3 km,18.0 km,73 km,11.7 km,4
Maacama Creek,Maacama Creek_2,Maacama Creek empties into which major river system?,Clear Lake,Sonoma Creek,Napa River,Sacramento River,Russian River,4
Macatawa River,Macatawa River_1,What is the approximate length of the Macatawa River's main stream in miles?,20.1 miles,27.0 miles,10.5 miles,15.0 miles,16.8 miles,4
Macatawa River,Macatawa River_2,Which of the following entities is NOT explicitly listed as a contributor to the management of public areas along the Macatawa River Greenway?,City of Holland,Ottawa County Parks and Recreation Commission,Michigan Department of Natural Resources,Outdoor Discovery Center Macatawa Greenway,Zeeland Township,2
Machakhelistsqali,Machakhelistsqali_1,The Machakhelistsqali river originates in which Turkish province before flowing into Georgia?,Izmir Province,Ankara Province,Istanbul Province,Antalya Province,Artvin Province,4
Machakhelistsqali,Machakhelistsqali_2,The Machakhelistsqali is a tributary to which larger river system?,Euphrates River,Kura River,Aras River,Tigris River,Çoruh (Chorokhi),4
Machias River,Machias River_1,What is the approximate north-south latitude coordinate of the Machias River's origin?,45°08′92″N,67°51′49″W,45°05′00″N,45°51′21″N,45°05′21″N,4
Machias River,Machias River_2,"If the Machias River's length is 96.6 kilometers, what is its approximate length in miles, assuming a conversion factor of 1 mile = 1.609 kilometers?",96.6 miles,155.4 miles,60.0 miles,60.1 miles,59.9 miles,2
Machias River (Aroostook River tributary),Machias River (Aroostook River tributary)_1,What is the approximate direction of the Machias River's flow immediately after its source at Big Machias Lake?,Northwest,Southwest,Northeast,East,Southeast,4
Machias River (Aroostook River tributary),Machias River (Aroostook River tributary)_2,The Machias River is a tributary to which larger river system?,Penobscot River,St. John River,Kennebec River,Allagash River,Aroostook River,4
Machipongo River,Machipongo River_1,What is the Machipongo River's approximate length in kilometers?,16.6 km,16.5 km,26.5 km,25.6 km,26.6 km,4
Machipongo River,Machipongo River_2,In which U.S. state's Eastern Shore is the Machipongo River located?,North Carolina,Virginia,Delaware,South Carolina,Maryland,1
Mack Creek,Mack Creek_1,Mack Creek empties into which major New York water body?,Lake Ontario,Seneca Lake,Oneida Lake,Erie Canal,Cayuga Lake,4
Mack Creek,Mack Creek_2,In which New York county is Mack Creek primarily located?,Monroe County,Tompkins County,Ontario County,Cayuga County,Seneca County,4
Mackay River,Mackay River_1,What is the approximate length of the Mackay River in kilometers?,13.6 km,13.4 km,21.0 km,21.6 miles,21.6 km,4
Mackay River,Mackay River_2,Which geographical feature lies directly to the east of the Mackay River?,St. Simons Sound,The mainland,The Frederica River,The Brunswick River,Saint Simons Island,4
Mackey Run (Muddy Creek tributary),Mackey Run (Muddy Creek tributary)_1,What is the approximate length of Mackey Run in kilometers?,9.61 mi,5.97 km,15.58 km,5.97 mi,9.61 km,4
Mackey Run (Muddy Creek tributary),Mackey Run (Muddy Creek tributary)_2,Mackey Run is a tributary of which larger river system?,Mackey River,Crawford Creek,Pennsylvania Run,Third Order Creek,Muddy Creek,4
Mackinaw River,Mackinaw River_1,What is the approximate area of the Mackinaw River's watershed in square kilometers?,"2,500 km2",210 km2,"1,136 km2","3,500 km2","3,000 km2",4
Mackinaw River,Mackinaw River_2,The Mackinaw River is a tributary of which larger river system?,Missouri River,Illinois River,Ohio River,Rock River,Mississippi River,1
Macoupin Creek,Macoupin Creek_1,What is the approximate maximum height of the bluffs lining the lower 23 miles of Macoupin Creek?,100 feet,160 feet,230 feet,55 feet,180 feet,4
Macoupin Creek,Macoupin Creek_2,"The modern channel of Macoupin Creek near its junction with the Illinois River is characterized by a straight path that cuts through old oxbows, forming an island. What is the name of this island?",Jersey Island,Illinois Island,Hardin Island,Greene Island,Macoupin Island,4
Mad River (California),Mad River (California)_1,What is the approximate drainage area of the Mad River watershed in square kilometers?,113 km²,182 km²,497 km²,"1,290 miles²","1,290 km²",4
Mad River (California),Mad River (California)_2,"The Mad River empties into which specific geographical feature, located north of Arcata?",The Pacific Northwest,The Trinity River,The Coast Range,The Klamath River,The Pacific Ocean,4
Mad River (Cocheco River tributary),Mad River (Cocheco River tributary)_1,What is the approximate total drop in elevation of the Mad River over its course?,Exactly 500 feet,Approximately 150 meters,Less than 500 feet,Around 150 feet,Over 500 feet,4
Mad River (Cocheco River tributary),Mad River (Cocheco River tributary)_2,"The Mad River is a tributary to which larger river system, ultimately leading to the Atlantic Ocean?",Nubble Pond River,Piscataqua River,Mad River,Hussey River,Cocheco River,4
Mad River (Cold River tributary),Mad River (Cold River tributary)_1,"What is the approximate elevation drop of the Mad River from its source to its confluence with the Cold River, assuming the Cold River is at a significantly lower elevation than the source?",Approximately 21 meters,Approximately 760 meters,Approximately 70 feet,Approximately 1.4 miles,"Approximately 2,500 feet",4
Mad River (Cold River tributary),Mad River (Cold River tributary)_2,The Mad River's descent includes a significant waterfall. What is the height of this cascade in meters?,1.4 miles,70 feet,2.3 kilometers,760 meters,21 meters,4
Mad River (Connecticut),Mad River (Connecticut)_1,In which U.S. state does the Mad River flow?,New York,Massachusetts,Rhode Island,Vermont,Connecticut,4
Mad River (Connecticut),Mad River (Connecticut)_2,Which specific county in Connecticut is traversed by the Mad River?,Litchfield County,New Haven County,Fairfield County,Middlesex County,Hartford County,1
Mad River (Ohio),Mad River (Ohio)_1,What is the primary reason cited for the low reproduction rates of trout in the Mad River?,Drought conditions and a lack of suitable spawning grounds,Overfishing by recreational anglers and pollution from urban areas,Introduction of invasive species and increased water temperatures,Acidification of the water due to industrial discharge and natural mineral content,"Sedimentation from channelization, extensive agricultural runoff, and diminishing habitat",4
Mad River (Ohio),Mad River (Ohio)_2,Which historical event directly led to the establishment of the Miami Conservancy District in relation to the Mad River?,The initial stocking of rainbow trout by the Division of Wildlife,The construction of the Mad River Road in 1797,The naming of the river by European settlers,The opening of the Mad River Mountain ski resort,The Great Dayton Flood of 1913,4
Mad River (Pemigewasset River tributary),Mad River (Pemigewasset River tributary)_1,What is the approximate length of the Mad River in kilometers?,15.5 km,17.9 km,30.0 km,25.2 km,28.8 km,4
Mad River (Pemigewasset River tributary),Mad River (Pemigewasset River tributary)_2,Which mountain pass serves as the origin point for the Mad River?,Waterville Notch,Greeley Pass,Pemigewasset Gap,Osceola Pass,Mad River Notch,4
Mad River (Vermont),Mad River (Vermont)_1,"In what year was the invasive alga 'didymo', also known as Rock Snot, first detected in the upper portions of the Mad River?",2010,1990,2005,2002,2008,4
Mad River (Vermont),Mad River (Vermont)_2,"Which of the following towns is entirely located within the Mad River watershed, in addition to flowing through Warren, Waitsfield, and Moretown?",Waterbury,Middlesex,Duxbury,Stowe,Fayston,4
Mad River (Washington),Mad River (Washington)_1,What is the primary drainage basin to which the Mad River (Washington) belongs?,Pacific Ocean basin,Entiat River basin,Cascade Mountain basin,Washington State basin,Columbia River basin,4
Mad River (Washington),Mad River (Washington)_2,Which river is the Mad River (Washington) a direct tributary of?,Yakima River,Columbia River,Cascade River,Wenatchee River,Entiat River,4
Mad Tom Brook,Mad Tom Brook_1,Mad Tom Brook empties into which larger waterway?,Black River,Mohawk River,Hudson River,St. Lawrence River,West Canada Creek,4
Mad Tom Brook,Mad Tom Brook_2,In which New York county is the confluence of Mad Tom Brook and West Canada Creek located?,Fulton County,Oneida County,Montgomery County,Lewis County,Herkimer County,4
Maddox Branch,Maddox Branch_1,What is the approximate length of Maddox Branch in miles?,2 miles,1.6 miles,0.5 miles,1.5 miles,1 mile,4
Maddox Branch,Maddox Branch_2,Maddox Branch originates in which specific area of Northwest Washington?,Tenleytown,The Chesapeake and Ohio Canal,The Potomac River,American University campus,Battery Kemble Park,0
Madison River,Madison River_1,"What is the primary purpose of the Madison Dam in Madison County, Montana?",To facilitate irrigation for agricultural purposes,To create a habitat for endangered fish species,To regulate floodwaters for downstream communities,To serve as a recreational boating access point,To provide hydroelectric power,4
